Unnamed: 0,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2,lat,lng
243,환경부(한국자동차환경협회),매송휴게소(목포방향),27,DC콤보,경기도,화성시,경기도 화성시 매송면 서해안고속도로 315,제한없음,송면 서해안고속도로 315,37.2647313030504,126.887887942986
244,환경부(한국자동차환경협회),매송휴게소(목포방향),28,DC콤보,경기도,화성시,경기도 화성시 매송면 서해안고속도로 315,제한없음,송면 서해안고속도로 315,37.2647313030504,126.887887942986
245,환경부(한국자동차환경협회),매송휴게소(서울방향),21,DC콤보,경기도,화성시,경기도 화성시 매송면 서해안고속도로 316,제한없음,송면 서해안고속도로 316,37.2653183753016,126.892898826422
246,환경부(한국자동차환경협회),매송휴게소(서울방향),22,DC콤보,경기도,화성시,경기도 화성시 매송면 서해안고속도로 316,제한없음,송면 서해안고속도로 316,37.2653183753016,126.892898826422
247,환경부(한국자동차환경협회),매송휴게소(서울방향),23,DC콤보,경기도,화성시,경기도 화성시 매송면 서해안고속도로 316,제한없음,송면 서해안고속도로 316,37.2653183753016,126.892898826422
248,환경부(한국자동차환경협회),매송휴게소(서울방향),24,DC콤보,경기도,화성시,경기도 화성시 매송면 서해안고속도로 316,제한없음,송면 서해안고속도로 316,37.2653183753016,126.892898826422
249,환경부(한국자동차환경협회),매송휴게소(서울방향),25,DC콤보,경기도,화성시,경기도 화성시 매송면 서해안고속도로 316,제한없음,송면 서해안고속도로 316,37.2653183753016,126.892898826422
250,환경부(한국자동차환경협회),매송휴게소(서울방향),26,DC콤보,경기도,화성시,경기도 화성시 매송면 서해안고속도로 316,제한없음,송면 서해안고속도로 316,37.2653183753016,126.892898826422
251,환경부(한국자동차환경협회),매송휴게소(서울방향),27,DC콤보,경기도,화성시,경기도 화성시 매송면 서해안고속도로 316,제한없음,송면 서해안고속도로 316,37.2653183753016,126.892898826422
252,환경부(한국자동차환경협회),매송휴게소(서울방향),28,DC콤보,경기도,화성시,경기도 화성시 매송면 서해안고속도로 316,제한없음,송면 서해안고속도로 316,37.2653183753016,126.892898826422
253,환경부(한국자동차환경협회),매송휴게소(시흥방향),1,DC차데모+AC3상+DC콤보,경기도,화성시,경기도 화성시 매송면 서해안고속도로 316-1,제한없음,송면 서해안고속도로 316-1,37.2661960276251,126.892443696299
256,환경부(한국자동차환경협회),문화재청 왕릉유적본부  서부지구관리소(김포장릉),21,DC콤보,경기도,김포시,경기도 김포시 장릉로 79,제한없음,릉로 79,37.6107518993992,126.712658300211
257,환경부(한국자동차환경협회),문화재청 왕릉유적본부  서부지구관리소(김포장릉),22,DC콤보,경기도,김포시,경기도 김포시 장릉로 79,제한없음,릉로 79,37.6107518993992,126.712658300211
260,환경부(한국자동차환경협회),미사리 경정공원 제2주차장,11,DC콤보,경기도,하남시,경기도 하남시 신장동 281,제한없음,장동 281,37.5519296936287,127.215263134148
261,환경부(한국자동차환경협회),미사리 경정공원 제2주차장,12,DC콤보,경기도,하남시,경기도 하남시 신장동 281,제한없음,장동 281,37.5519296936287,127.215263134148
262,환경부(한국자동차환경협회),미사리 경정공원 제8주차장,11,DC콤보,경기도,하남시,경기도 하남시 망월동 1-1,제한없음,월동 1-1,37.5650403762273,127.2002462143
263,환경부(한국자동차환경협회),미사리 경정공원 제8주차장,12,DC콤보,경기도,하남시,경기도 하남시 망월동 1-1,제한없음,월동 1-1,37.5650403762273,127.2002462143
264,환경부(한국자동차환경협회),미사리 경정공원 제8주차장,13,DC콤보,경기도,하남시,경기도 하남시 망월동 1-1,제한없음,월동 1-1,37.5650403762273,127.2002462143
265,환경부(한국자동차환경협회),미사리 경정공원 제8주차장,14,DC콤보,경기도,하남시,경기도 하남시 망월동 1-1,제한없음,월동 1-1,37.5650403762273,127.2002462143
279,환경부(한국자동차환경협회),별내동주민센터,1,DC차데모+AC3상+DC콤보,경기도,남양주시,"경기도 남양주시 별내3로 64-21, 주차장 입구",제한없음,"별내3로 64-21, 주차장 입구(별내동 1028)",37.6461661451964,127.121882464789
280,환경부(한국자동차환경협회),병목안시민공원 노외주차장,1,DC콤보,경기도,안양시,경기도 안양시 만안구 안양동 1041-1,제한없음,안구 안양동 1041-1,37.3857723005,126.907585681792
285,환경부(한국자동차환경협회),부발읍행정복지센터,11,DC콤보,경기도,이천시,경기도 이천시 부발읍 무촌로 121,제한없음,발읍 무촌로 121,37.2836337335357,127.487292079454
286,환경부(한국자동차환경협회),부발읍행정복지센터,12,DC콤보,경기도,이천시,경기도 이천시 부발읍 무촌로 121,제한없음,발읍 무촌로 121,37.2836337335357,127.487292079454
287,환경부(한국자동차환경협회),부천수자원생태공원,21,DC콤보,경기도,부천시,경기도 부천시 벌말로 220,제한없음,말로 220,37.5510208957016,126.768423821007
288,환경부(한국자동차환경협회),부천수자원생태공원,22,DC콤보,경기도,부천시,경기도 부천시 벌말로 220,제한없음,말로 220,37.5510208957016,126.768423821007
289,환경부(한국자동차환경협회),부천시민회관 부설주차장,1,DC콤보,경기도,부천시,경기도 부천시 부일로 365,제한없음,일로 365,37.4886333546506,126.770657729265
290,환경부(한국자동차환경협회),부천종합운동장,1,DC차데모+AC3상+DC콤보,경기도,부천시,경기도 부천시 춘의동 8 24 필지 주차장 입구 오른쪽,제한없음,의동 8 24 필지 주차장 입구 오른쪽,0,0
293,환경부(한국자동차환경협회),분당도서관,1,DC콤보,경기도,성남시,경기도 성남시 분당구 불정로 110,제한없음,당구 불정로 110,37.3581041595248,127.116580390082
300,환경부(한국자동차환경협회),비봉영업소,1,DC차데모+AC3상+DC콤보,경기도,화성시,경기도 화성시 봉담읍 내리 13-5 인근,제한없음,담읍 내리 13-5 인근,0,0
301,환경부(한국자동차환경협회),비전 공영주차장,1,DC차데모+AC3상+DC콤보,경기도,평택시,"경기도 평택시 비전동 629-1,주차장 안쪽 끝",제한없음,"전동 629-1,주차장 안쪽 끝(비전동 629-1)",36.9971899634135,127.088550736413
306,환경부(한국자동차환경협회),상동 호수공원주차장,11,DC콤보,경기도,부천시,경기도 부천시 상동 549번지,제한없음,동 549번지,37.5040837494431,126.745142157178
