Unnamed: 0,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2
5753,에버온,경기평택 소사벌더샵마스터뷰3,2,AC완속,경기도,평택시,경기도 평택시 죽백4로 16(817 소사벌더샵마스터뷰),제한없음,백4로 16(817 소사벌더샵마스터뷰)
5754,에버온,경기평택 소사벌더샵마스터뷰3,3,AC완속,경기도,평택시,경기도 평택시 죽백4로 16(817 소사벌더샵마스터뷰),제한없음,백4로 16(817 소사벌더샵마스터뷰)
5755,에버온,경기평택 소사벌더샵마스터뷰4,1,AC완속,경기도,평택시,경기도 평택시 죽백4로 16(817 소사벌더샵마스터뷰),제한없음,백4로 16(817 소사벌더샵마스터뷰)
5756,에버온,경기평택 소사벌더샵마스터뷰4,2,AC완속,경기도,평택시,경기도 평택시 죽백4로 16(817 소사벌더샵마스터뷰),제한없음,백4로 16(817 소사벌더샵마스터뷰)
5757,에버온,경기평택 소사벌더샵마스터뷰4,3,AC완속,경기도,평택시,경기도 평택시 죽백4로 16(817 소사벌더샵마스터뷰),제한없음,백4로 16(817 소사벌더샵마스터뷰)
5758,에버온,경기평택 송탄우성아파트104동,1,AC완속,경기도,평택시,경기도 평택시 지산2로 30104동앞지상주차장,제한없음,산2로 30104동앞지상주차장
5759,에버온,경기평택 송탄우성아파트104동,2,AC완속,경기도,평택시,경기도 평택시 지산2로 30104동앞지상주차장,제한없음,산2로 30104동앞지상주차장
5760,에버온,경기평택 송탄우성아파트113동,1,AC완속,경기도,평택시,경기도 평택시 지산2로 30113동지상주차장,제한없음,산2로 30113동지상주차장
5761,에버온,경기평택 송탄우성아파트113동,2,AC완속,경기도,평택시,경기도 평택시 지산2로 30113동지상주차장,제한없음,산2로 30113동지상주차장
5762,에버온,경기평택 힐스테이스평택2차202동,1,AC완속,경기도,평택시,경기도 평택시 세교6로 45202동 지하2층 C48기둥,제한없음,교6로 45202동 지하2층 C48기둥
5763,에버온,경기평택 힐스테이스평택2차202동,2,AC완속,경기도,평택시,경기도 평택시 세교6로 45202동 지하2층 C48기둥,제한없음,교6로 45202동 지하2층 C48기둥
5764,에버온,경기평택 힐스테이스평택2차202동,3,AC완속,경기도,평택시,경기도 평택시 세교6로 45202동 지하2층 C48기둥,제한없음,교6로 45202동 지하2층 C48기둥
5765,에버온,경기평택 힐스테이스평택2차205동,1,AC완속,경기도,평택시,경기도 평택시 세교6로 45205동 지하3층 B85기둥,제한없음,교6로 45205동 지하3층 B85기둥
5766,에버온,경기평택 힐스테이스평택2차205동,2,AC완속,경기도,평택시,경기도 평택시 세교6로 45205동 지하3층 B85기둥,제한없음,교6로 45205동 지하3층 B85기둥
5767,에버온,경기평택 힐스테이스평택2차211동,1,AC완속,경기도,평택시,경기도 평택시 세교6로 45211동 지하2층 B54기둥,제한없음,교6로 45211동 지하2층 B54기둥
