운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한
휴맥스이브이,죽전역월드메르디앙,3,AC완속,경기도,용인시,경기도 용인시 수지구 달맞이로 13주차장(죽전역 월드메르디앙 경기도 용인시 수지구 죽전동 1488),제한없음
휴맥스이브이,죽전역월드메르디앙,4,AC완속,경기도,용인시,경기도 용인시 수지구 달맞이로 13주차장(죽전역 월드메르디앙 경기도 용인시 수지구 죽전동 1488),제한없음
휴맥스이브이,죽전역월드메르디앙,5,AC완속,경기도,용인시,경기도 용인시 수지구 달맞이로 13주차장(죽전역 월드메르디앙 경기도 용인시 수지구 죽전동 1488),제한없음
휴맥스이브이,증포동한솔솔파크,1,AC완속,경기도,이천시,경기도 이천시 이섭대천로1419번길 35(475 증포동한솔솔파크),제한없음
휴맥스이브이,증포동한솔솔파크,2,AC완속,경기도,이천시,경기도 이천시 이섭대천로1419번길 35(475 증포동한솔솔파크),제한없음
휴맥스이브이,증포동한솔솔파크,3,AC완속,경기도,이천시,경기도 이천시 이섭대천로1419번길 35(475 증포동한솔솔파크),제한없음
휴맥스이브이,증포동한솔솔파크,4,AC완속,경기도,이천시,경기도 이천시 이섭대천로1419번길 35(475 증포동한솔솔파크),제한없음
휴맥스이브이,증포동한솔솔파크,5,AC완속,경기도,이천시,경기도 이천시 이섭대천로1419번길 35(475 증포동한솔솔파크),제한없음
휴맥스이브이,진우아파트,1,AC완속,경기도,이천시,경기도 이천시 부발읍 경충대로 2212(365 진우아파트),제한없음
휴맥스이브이,진우아파트,2,AC완속,경기도,이천시,경기도 이천시 부발읍 경충대로 2212(365 진우아파트),제한없음
휴맥스이브이,진우아파트,3,AC완속,경기도,이천시,경기도 이천시 부발읍 경충대로 2212(365 진우아파트),제한없음
휴맥스이브이,진우아파트,4,AC완속,경기도,이천시,경기도 이천시 부발읍 경충대로 2212(365 진우아파트),제한없음
휴맥스이브이,진우아파트,5,AC완속,경기도,이천시,경기도 이천시 부발읍 경충대로 2212(365 진우아파트),제한없음
휴맥스이브이,진우아파트,6,AC완속,경기도,이천시,경기도 이천시 부발읍 경충대로 2212(365 진우아파트),제한없음
휴맥스이브이,진우아파트,7,AC완속,경기도,이천시,경기도 이천시 부발읍 경충대로 2212(365 진우아파트),제한없음
휴맥스이브이,진우아파트,8,AC완속,경기도,이천시,경기도 이천시 부발읍 경충대로 2212(365 진우아파트),제한없음
휴맥스이브이,진우아파트,9,AC완속,경기도,이천시,경기도 이천시 부발읍 경충대로 2212(365 진우아파트),제한없음
휴맥스이브이,진위주차타워_평택,1,AC완속,경기도,평택시,경기도 평택시 진위면 진위2산단로 15-35(갈곶리 722-1),제한없음
휴맥스이브이,청북이지더원,1,AC완속,경기도,평택시,경기도 평택시 청북읍 안청로4길 42(평택청북 이지더원),제한없음
휴맥스이브이,청북이지더원,2,AC완속,경기도,평택시,경기도 평택시 청북읍 안청로4길 42(평택청북 이지더원),제한없음
휴맥스이브이,청북이지더원,3,AC완속,경기도,평택시,경기도 평택시 청북읍 안청로4길 42(평택청북 이지더원),제한없음
휴맥스이브이,청북이지더원,4,AC완속,경기도,평택시,경기도 평택시 청북읍 안청로4길 42(평택청북 이지더원),제한없음
휴맥스이브이,청북이지더원,5,AC완속,경기도,평택시,경기도 평택시 청북읍 안청로4길 42(평택청북 이지더원),제한없음
휴맥스이브이,청북이지더원,6,AC완속,경기도,평택시,경기도 평택시 청북읍 안청로4길 42(평택청북 이지더원),제한없음
휴맥스이브이,청북이지더원,7,AC완속,경기도,평택시,경기도 평택시 청북읍 안청로4길 42(평택청북 이지더원),제한없음
휴맥스이브이,청북이지더원,8,AC완속,경기도,평택시,경기도 평택시 청북읍 안청로4길 42(평택청북 이지더원),제한없음
휴맥스이브이,청북이지더원,9,AC완속,경기도,평택시,경기도 평택시 청북읍 안청로4길 42(평택청북 이지더원),제한없음
휴맥스이브이,청북이지더원,10,AC완속,경기도,평택시,경기도 평택시 청북읍 안청로4길 42(평택청북 이지더원),제한없음
휴맥스이브이,청북이지더원,11,AC완속,경기도,평택시,경기도 평택시 청북읍 안청로4길 42(평택청북 이지더원),제한없음
휴맥스이브이,청북이지더원,12,AC완속,경기도,평택시,경기도 평택시 청북읍 안청로4길 42(평택청북 이지더원),제한없음
휴맥스이브이,청북이지더원,13,AC완속,경기도,평택시,경기도 평택시 청북읍 안청로4길 42(평택청북 이지더원),제한없음
휴맥스이브이,청북풍림아이원,1,AC완속,경기도,평택시,경기도 평택시 청북읍 안청로4길 33(1144 풍림아이원아파트),제한없음
휴맥스이브이,청북풍림아이원,2,AC완속,경기도,평택시,경기도 평택시 청북읍 안청로4길 33(1144 풍림아이원아파트),제한없음
휴맥스이브이,청북풍림아이원,3,AC완속,경기도,평택시,경기도 평택시 청북읍 안청로4길 33(1144 풍림아이원아파트),제한없음
휴맥스이브이,청북풍림아이원,4,AC완속,경기도,평택시,경기도 평택시 청북읍 안청로4길 33(1144 풍림아이원아파트),제한없음
휴맥스이브이,초원5단지LG,1,AC완속,경기도,안양시,경기도 안양시 동안구 부림로 52(897-7 초원럭키아파트),제한없음
휴맥스이브이,초원5단지LG,2,AC완속,경기도,안양시,경기도 안양시 동안구 부림로 52(897-7 초원럭키아파트),제한없음
휴맥스이브이,초원5단지LG,3,AC완속,경기도,안양시,경기도 안양시 동안구 부림로 52(897-7 초원럭키아파트),제한없음
휴맥스이브이,초원5단지LG,4,AC완속,경기도,안양시,경기도 안양시 동안구 부림로 52(897-7 초원럭키아파트),제한없음
